,name,link,price,closest_town,region,zip,coordinates,total_len,easy_len,intermediate_len,difficult_len
0,Vail,https://www.skiresort.info/ski-resort/vail/,219.0,Vail,Colorado,81658,"[-106.497314, 39.624171]",234.0,57.0,84.0,93.0
1,Telluride,https://www.skiresort.info/ski-resort/telluride/,169.0,Mountain Village,Colorado,81435,"[-107.88874, 37.932874]",88.2,6.7,51.7,29.8
2,Beaver Creek,https://www.skiresort.info/ski-resort/beaver-creek/,218.0,Beaver Creek Village,Colorado,81658,"[-106.497314, 39.624171]",150.0,28.5,64.5,57.0
3,Mammoth Mountain,https://www.skiresort.info/ski-resort/mammoth-mountain/,209.0,Mammoth Lakes,Mammoth Lakes,93546,"[-118.86279, 37.621587]",89.8,18.4,48.5,22.9
4,Snowmass,https://www.skiresort.info/ski-resort/snowmass/,199.0,Snowmass Village,Aspen Snowmass,81612,"[-106.882774, 39.223416]",237.0,12.0,114.0,111.0
5,Breckenridge,https://www.skiresort.info/ski-resort/breckenridge/,199.0,Breckenridge,Colorado,80424,"[-106.03747, 39.478893]",153.0,28.0,60.0,65.0
6,Keystone,https://www.skiresort.info/ski-resort/keystone/,176.0,Keystone,Colorado,80435,"[-105.97937, 39.607479]",135.0,25.0,65.0,45.0
7,Killington,https://www.skiresort.info/ski-resort/killington/,165.0,Killington,Vermont,5751,"[-72.79419, 43.659839]",117.0,19.9,46.7,50.2
8,Sunday River,https://www.skiresort.info/ski-resort/sunday-river/,119.0,Sunday River,Maine,4261,"[-70.87599, 44.570532]",84.8,25.5,30.5,28.8
9,Heavenly,https://www.skiresort.info/ski-resort/heavenly/,164.0,Heavenly Village,Lake Tahoe,96150,"[-120.00992, 38.908741]",94.0,18.0,42.0,34.0
10,Winter Park Resort,https://www.skiresort.info/ski-resort/winter-park-resort/,164.0,Winter Park,Colorado,80482,"[-105.78359, 39.915508]",143.0,11.0,53.0,79.0
11,Stowe,https://www.skiresort.info/ski-resort/stowe/,149.0,Stowe,Vermont,5672,"[-72.70225, 44.475387]",70.0,20.0,42.0,8.0
12,Squaw Valley,https://www.skiresort.info/ski-resort/squaw-valley/,209.0,Olympic Valley,Lake Tahoe,96146,"[-120.21804, 39.180983]",100.0,25.0,45.0,30.0
