closest_town,date,time,weather_lat,weather_lon,temperature,feels_like,temp_min,temp_max,temp_description,humidity,cloudiness,wind_speed,daily_chance_snow,hourly_chance_snow
Vail,02/23/21,05:42:00,32.0479,-110.712,58.064000000000036,50.03600000000007,55.004000000000055,60.008,clear sky,12,0,1.59,0,0
Mountain Village,02/23/21,21:42:00,37.9314,-107.8565,25.772000000000038,18.140000000000022,19.994000000000074,28.4,clear sky,54,1,1.54,0,0
Mammoth Lakes,02/23/21,20:42:00,37.6485,-118.9721,26.744000000000074,19.34600000000005,26.00600000000003,28.4,clear sky,43,1,1.16,0,0
Snowmass Village,02/23/21,21:42:00,39.213,-106.9378,27.841999999999995,17.888000000000044,24.8,32.0,clear sky,58,1,3.6,8,0
Breckenridge,02/23/21,22:42:00,32.7557,-98.9023,66.41600000000001,57.34400000000007,64.4,68.0,clear sky,45,1,6.17,0,0
Keystone,02/23/21,23:42:00,28.1558,-82.6212,56.498000000000026,52.754000000000055,53.00600000000003,60.998000000000026,clear sky,76,0,2.83,0,0
Killington,02/23/21,04:42:00,54.295,-2.5947,49.73000000000004,46.63399999999999,46.99400000000007,51.998000000000026,moderate rain,96,100,2.24,0,0
Winter Park,02/23/21,23:42:00,28.6,-81.3392,58.31600000000001,55.94000000000002,57.00200000000008,60.8,clear sky,72,1,1.81,0,0
Stowe,02/23/21,23:42:00,40.2526,-75.6774,39.092,31.982000000000017,37.004000000000055,41.0,clear sky,56,1,2.06,63,66
Steamboat Springs,02/23/21,21:42:00,40.485,-106.8317,22.244000000000074,14.144000000000073,12.2,26.6,overcast clouds,43,90,1.54,28,0
Park City,02/23/21,12:42:00,42.3484,-87.8842,39.2,31.478000000000065,39.2,39.2,scattered clouds,70,40,3.09,0,0
Big Sky Mountain Village,02/23/21,21:42:00,45.2882,-111.3941,18.680000000000042,8.149999999999999,15.998000000000026,21.2,overcast clouds,58,90,3.6,52,0
Frisco,02/23/21,22:42:00,33.1507,-96.8236,66.70400000000005,61.12400000000001,64.99400000000007,68.0,clear sky,59,0,4.92,0,0
Alpine Meadows,02/23/21,20:42:00,50.1482,-122.9654,33.872000000000035,27.068000000000087,33.008,35.6,scattered clouds,93,43,2.57,0,0
Alta,02/23/21,10:42:00,69.9689,23.2717,17.6,3.956000000000028,17.6,17.6,few clouds,67,20,6.17,28,0
Aspen,02/23/21,23:42:00,39.1911,-106.8175,24.8,14.630000000000042,24.8,24.8,clear sky,58,1,3.6,0,0
Teton Village,02/23/21,21:42:00,43.588,-110.828,14.54000000000002,6.368000000000087,10.004000000000055,19.4,light snow,93,90,2.06,49,0
Park City,02/23/21,12:42:00,42.3484,-87.8842,39.2,31.478000000000065,39.2,39.2,scattered clouds,70,40,3.09,0,0
Mount Crested Butte,02/23/21,21:42:00,38.9077,-106.9691,28.13000000000004,18.194000000000074,24.8,32.0,clear sky,58,1,3.6,0,0
Eden,02/23/21,22:42:00,36.4885,-79.7667,37.90400000000005,33.11600000000001,33.8,44.99600000000005,clear sky,80,1,1.0,10,0
Lake Placid,02/23/21,23:42:00,44.2795,-73.9799,30.722000000000037,21.541999999999994,30.002000000000077,32.0,light snow,93,90,4.12,0,0
Bend,02/23/21,15:42:00,44.0582,-121.3153,31.22600000000009,18.35600000000003,28.994000000000074,33.8,clear sky,60,1,6.17,0,0
Truckee,02/23/21,20:42:00,39.328,-120.1833,29.10200000000008,21.50600000000003,23.0,35.00600000000003,clear sky,68,1,2.06,0,0
Sandpoint,02/23/21,20:42:00,48.2766,-116.5533,25.79000000000002,20.156000000000027,12.991999999999997,30.2,clear sky,86,1,0.68,36,66
Keystone,02/23/21,23:42:00,28.1558,-82.6212,56.498000000000026,52.754000000000055,53.00600000000003,60.998000000000026,clear sky,76,0,2.83,0,0
Government Camp,02/23/21,20:42:00,45.3041,-121.7548,28.778000000000066,16.682000000000016,19.004000000000055,35.99600000000005,snow,94,100,6.26,97,98
Stratton,02/23/21,04:42:00,43.0429,-72.9109,32.702000000000076,27.698000000000025,30.991999999999997,33.998000000000026,overcast clouds,89,90,0.89,0,0
Wenatchee,02/23/21,20:42:00,47.4235,-120.3103,34.772000000000034,27.104000000000052,33.8,37.004000000000055,clear sky,80,1,2.95,19,53
Taos Ski Valley,02/23/21,21:42:00,36.596,-105.4545,32.288000000000046,18.374000000000013,26.99600000000005,37.4,clear sky,47,1,6.69,0,0
Reno,02/23/21,20:42:00,39.5296,-119.8138,38.94800000000002,30.991999999999997,35.6,42.998000000000026,clear sky,32,1,1.82,0,0
