,name,link,price,closest_town,region,total_len,easy_len,intermediate_len,difficult_len,geometry,state,website,Latitude,Longtitude,date,time,weather_lat,weather_lon,temperature,feels_like,temp_min,temp_max,temp_description,humidity,cloudiness,wind_speed,daily_chance_snow,hourly_chance_snow
0,Vail,https://www.skiresort.info/ski-resort/vail/,219.0,Vail,Colorado,234.0,57.0,84.0,93.0,"[-106.35805314076724, 39.60991962505997]",,http://www.vail.snow.com,-106.35805314076724,39.60991962505997,02/23/21,05:42:00,32.0479,-110.712,58.064000000000036,50.036000000000065,55.00400000000007,60.008,clear sky,12.0,0.0,1.59,0.0,0.0
1,Telluride,https://www.skiresort.info/ski-resort/telluride/,169.0,Mountain Village,Colorado,88.2,6.7,51.7,29.8,"[-107.83598933345762, 37.92046244915704]",Colorado,http://tellurideskiresort.com/,-107.83598933345762,37.92046244915704,02/23/21,21:42:00,37.9314,-107.8565,25.772000000000038,18.140000000000025,19.994000000000074,28.4,clear sky,54.0,1.0,1.54,0.0,0.0
2,Beaver Creek,https://www.skiresort.info/ski-resort/beaver-creek/,218.0,Beaver Creek Village,Colorado,150.0,28.5,64.5,57.0,,,,,,,,,,,,,,,,,,,
3,Mammoth Mountain,https://www.skiresort.info/ski-resort/mammoth-mountain/,209.0,Mammoth Lakes,Mammoth Lakes,89.8,18.4,48.5,22.9,"[-119.02132555986691, 37.64096495905402]",California,http://www.mammothmountain.com/,-119.02132555986691,37.64096495905402,02/23/21,20:42:00,37.6485,-118.9721,26.744000000000078,19.34600000000005,26.006000000000032,28.4,clear sky,43.0,1.0,1.16,0.0,0.0
4,Snowmass,https://www.skiresort.info/ski-resort/snowmass/,199.0,Snowmass Village,Aspen Snowmass,237.0,12.0,114.0,111.0,"[-106.95106028636194, 39.18914819590207]",Colorado,http://www.aspensnowmass.com,-106.95106028636194,39.18914819590207,02/23/21,21:42:00,39.213,-106.9378,27.841999999999995,17.888000000000048,24.8,32.0,clear sky,58.0,1.0,3.6,8.0,0.0
5,Breckenridge,https://www.skiresort.info/ski-resort/breckenridge/,199.0,Breckenridge,Colorado,153.0,28.0,60.0,65.0,,,,,,02/23/21,22:42:00,32.7557,-98.9023,66.41600000000001,57.344000000000065,64.4,68.0,clear sky,45.0,1.0,6.17,0.0,0.0
6,Keystone,https://www.skiresort.info/ski-resort/keystone/,176.0,Keystone,Colorado,135.0,25.0,65.0,45.0,,,,,,02/23/21,23:42:00,28.1558,-82.6212,56.49800000000002,52.75400000000007,53.00600000000003,60.99800000000002,clear sky,76.0,0.0,2.83,0.0,0.0
7,Killington,https://www.skiresort.info/ski-resort/killington/,165.0,Killington,Vermont,117.0,19.9,46.7,50.2,"[-72.79985765343031, 43.61034153060775]",Vermont,http://www.killington.com,-72.79985765343031,43.61034153060775,02/23/21,04:42:00,54.295,-2.5947,49.73000000000004,46.63399999999999,46.994000000000064,51.99800000000002,moderate rain,96.0,100.0,2.24,0.0,0.0
8,Sunday River,https://www.skiresort.info/ski-resort/sunday-river/,119.0,Sunday River,Maine,84.8,25.5,30.5,28.8,,,,,,,,,,,,,,,,,,,
9,Heavenly,https://www.skiresort.info/ski-resort/heavenly/,164.0,Heavenly Village,Lake Tahoe,94.0,18.0,42.0,34.0,,,,,,,,,,,,,,,,,,,
