,name,link,price,total_len,easy_len,intermediate_len,difficult_len
0, Vail ,https://www.skiresort.info/ski-resort/vail/,219.0,234.0,57.0,84.0,93.0
1, Telluride ,https://www.skiresort.info/ski-resort/telluride/,169.0,88.2,6.7,51.7,29.8
2, Beaver Creek ,https://www.skiresort.info/ski-resort/beaver-creek/,218.0,150.0,28.5,64.5,57.0
3, Mammoth Mountain ,https://www.skiresort.info/ski-resort/mammoth-mountain/,209.0,89.8,18.4,48.5,22.9
4, Snowmass ,https://www.skiresort.info/ski-resort/snowmass/,199.0,237.0,12.0,114.0,111.0
5, Breckenridge ,https://www.skiresort.info/ski-resort/breckenridge/,199.0,153.0,28.0,60.0,65.0
6, Keystone ,https://www.skiresort.info/ski-resort/keystone/,176.0,135.0,25.0,65.0,45.0
7, Sunday River ,https://www.skiresort.info/ski-resort/sunday-river/,119.0,84.8,25.5,30.5,28.8
8, Killington ,https://www.skiresort.info/ski-resort/killington/,165.0,117.0,19.9,46.7,50.2
9, Heavenly ,https://www.skiresort.info/ski-resort/heavenly/,164.0,94.0,18.0,42.0,34.0
10, Winter Park Resort ,https://www.skiresort.info/ski-resort/winter-park-resort/,164.0,143.0,11.0,53.0,79.0
11, Stowe ,https://www.skiresort.info/ski-resort/stowe/,149.0,70.0,20.0,42.0,8.0
12, Squaw Valley ,https://www.skiresort.info/ski-resort/squaw-valley/,209.0,100.0,25.0,45.0,30.0
13, Steamboat ,https://www.skiresort.info/ski-resort/steamboat/,199.0,165.0,25.0,95.0,45.0
14, Park City ,https://www.skiresort.info/ski-resort/park-city/,133.0,250.0,27.0,152.0,71.0
15, Big Sky Resort ,https://www.skiresort.info/ski-resort/big-sky-resort/,194.0,250.0,55.0,69.0,126.0
16, Aspen Highlands ,https://www.skiresort.info/ski-resort/aspen-highlands/,199.0,135.0,24.3,40.5,70.2
17, Copper Mountain ,https://www.skiresort.info/ski-resort/copper-mountain/,189.0,126.0,30.0,40.0,56.0
18, Alpine Meadows ,https://www.skiresort.info/ski-resort/alpine-meadows/,209.0,100.0,25.0,40.0,35.0
19, Alta ,https://www.skiresort.info/ski-resort/alta/,125.0,116.0,29.0,46.4,40.6
20, Buttermilk Mountain ,https://www.skiresort.info/ski-resort/buttermilk-mountain/,199.0,34.0,11.9,13.3,8.8
21, Jackson Hole ,https://www.skiresort.info/ski-resort/jackson-hole/,182.0,116.0,16.0,50.0,50.0
22, Deer Valley ,https://www.skiresort.info/ski-resort/deer-valley/,N/A,103.0,28.0,42.0,33.0
23, Crested Butte ,https://www.skiresort.info/ski-resort/crested-butte/,151.0,121.0,31.4,69.0,20.6
24, Powder Mountain ,https://www.skiresort.info/ski-resort/powder-mountain/,99.0,135.0,30.0,50.0,55.0
25, Whiteface – Lake Placid ,https://www.skiresort.info/ski-resort/whiteface-lake-placid/,115.0,37.0,12.8,15.9,8.3
26, Northstar California Resort ,https://www.skiresort.info/ski-resort/northstar-california-resort/,170.0,97.0,25.0,45.0,27.0
27, Mt. Bachelor ,https://www.skiresort.info/ski-resort/mt-bachelor/,169.0,100.0,15.0,25.0,60.0
28, Yellowstone Club ,https://www.skiresort.info/ski-resort/yellowstone-club/,N/A,80.0,30.0,30.0,20.0
29, Bald Mountain – Sun Valley ,https://www.skiresort.info/ski-resort/bald-mountain-sun-valley/,165.0,92.0,35.0,40.0,17.0
