,index,name,link,price,closest_town,region,total_len,easy_len,intermediate_len,difficult_len,geometry,state,website
0,0,Vail,https://www.skiresort.info/ski-resort/vail/,219.0,Vail,Colorado,234.0,57.0,84.0,93.0,"{-106.35805314076724,39.60991962505997}",Unknown,http://www.vail.snow.com
1,1,Telluride,https://www.skiresort.info/ski-resort/telluride/,169.0,Mountain Village,Colorado,88.2,6.7,51.7,29.8,"{-107.83598933345762,37.92046244915704}",Colorado,http://tellurideskiresort.com/
2,3,Mammoth Mountain,https://www.skiresort.info/ski-resort/mammoth-mountain/,209.0,Mammoth Lakes,Mammoth Lakes,89.8,18.4,48.5,22.9,"{-119.02132555986691,37.64096495905402}",California,http://www.mammothmountain.com/
3,4,Snowmass,https://www.skiresort.info/ski-resort/snowmass/,199.0,Snowmass Village,Aspen Snowmass,237.0,12.0,114.0,111.0,"{-106.95106028636194,39.18914819590207}",Colorado,http://www.aspensnowmass.com
4,7,Killington,https://www.skiresort.info/ski-resort/killington/,165.0,Killington,Vermont,117.0,19.9,46.7,50.2,"{-72.79985765343031,43.61034153060775}",Vermont,http://www.killington.com
5,10,Winter Park Resort,https://www.skiresort.info/ski-resort/winter-park-resort/,164.0,Winter Park,Colorado,143.0,11.0,53.0,79.0,"{-105.7766544513478,39.871873051869514}",Colorado,http://www.winterparkresort.com/
6,12,Squaw Valley,https://www.skiresort.info/ski-resort/squaw-valley/,209.0,Olympic Valley,Lake Tahoe,100.0,25.0,45.0,30.0,"{-120.25018794888719,39.19071436087586}",California,http://www.squaw.com/
7,15,Big Sky Resort,https://www.skiresort.info/ski-resort/big-sky-resort/,194.0,Big Sky Mountain Village,Montana,250.0,55.0,69.0,126.0,"{-111.42492167907098,45.269889693626105}",Montana,http://www.bigskyresort.com
8,16,Aspen Highlands,https://www.skiresort.info/ski-resort/aspen-highlands/,199.0,Highlands Village,Aspen Snowmass,135.0,24.3,40.5,70.2,"{-106.86392064312987,39.16292317996185}",Colorado,http://www.aspensnowmass.com
9,18,Alpine Meadows,https://www.skiresort.info/ski-resort/alpine-meadows/,209.0,Alpine Meadows,Lake Tahoe,100.0,25.0,40.0,35.0,"{-73.908237218857,43.179511946672015}",New York,
10,20,Buttermilk Mountain,https://www.skiresort.info/ski-resort/buttermilk-mountain/,199.0,Aspen,Aspen Snowmass,34.0,11.9,13.3,8.8,"{-106.8698646901408,39.1908717267606}",Unknown,http://adf.ly/1UwDWa
11,24,Powder Mountain,https://www.skiresort.info/ski-resort/powder-mountain/,99.0,Eden,Utah,135.0,30.0,50.0,55.0,"{-111.761971887196,41.37719642034039}",Utah,
12,26,Mt. Bachelor,https://www.skiresort.info/ski-resort/mt-bachelor/,169.0,Bend,Oregon,100.0,15.0,25.0,60.0,"{-121.6817521227555,43.98672572878684}",Oregon,Unknown
13,28,Yellowstone Club,https://www.skiresort.info/ski-resort/yellowstone-club/,Empty,Yellowstone Club,Montana,80.0,30.0,30.0,20.0,"{-111.41113042831006,45.24162672369199}",Unknown,http://www.theyellowstoneclub.com
14,31,Schweitzer Mountain Resort,https://www.skiresort.info/ski-resort/schweitzer-mountain-resort/,95.0,Sandpoint,Idaho,95.0,20.0,40.0,35.0,"{-116.62285366870098,48.38072336697773}",Unknown,http://www.schweitzer.com/
15,32,Arapahoe Basin,https://www.skiresort.info/ski-resort/arapahoe-basin/,158.0,Keystone,Colorado,105.0,40.0,25.0,40.0,"{-105.87583397427493,39.6289031000935}",Colorado,http://www.arapahoebasin.com
16,38,Aspen Mountain,https://www.skiresort.info/ski-resort/aspen-mountain/,199.0,Aspen,Aspen Snowmass,103.0,0.0,49.0,54.0,"{-106.82188128782913,39.170930057697404}",Colorado,http://www.aspensnowmass.com
17,40,Whitefish Mountain Resort,https://www.skiresort.info/ski-resort/whitefish-mountain-resort/,85.0,Whitefish Mountain Village,Montana,91.0,18.0,46.0,27.0,"{-114.34326102380551,48.497283508593256}",Montana,Unknown
18,45,Sugarloaf,https://www.skiresort.info/ski-resort/sugarloaf/,119.0,Carrabassett Valley,Maine,87.0,20.0,30.0,37.0,"{-70.31393209318415,45.043314638097705}",Maine,http://www.sugarloaf.com
19,50,Jay Peak,https://www.skiresort.info/ski-resort/jay-peak/,89.0,Jay,Vermont,76.0,15.0,31.0,30.0,"{-72.51622713475902,44.928436540122156}",Vermont,http://jaypeakresort.com/
20,55,Bretton Woods,https://www.skiresort.info/ski-resort/bretton-woods/,104.0,Twin Mountain,New Hampshire,56.0,25.0,16.0,15.0,"{-71.46717042409762,44.25146601305734}",New Hampshire,Unknown
21,56,Mount Snow,https://www.skiresort.info/ski-resort/mount-snow/,110.0,West Dover,Vermont,60.0,6.0,46.0,8.0,"{-72.90796247996889,42.961041548291924}",Vermont,http://mountsnow.com/
22,57,Red Lodge Mountain,https://www.skiresort.info/ski-resort/red-lodge-mountain/,84.0,Red Lodge,Montana,65.0,11.0,30.0,24.0,"{-109.35125832434292,45.18872464135545}",Montana,Unknown
23,60,Bogus Basin,https://www.skiresort.info/ski-resort/bogus-basin/,64.0,Boise,Idaho,50.0,11.0,22.0,17.0,"{-116.08806273417413,43.766873514853245}",Idaho,http://www.bogusbasin.org/
24,61,Kirkwood,https://www.skiresort.info/ski-resort/kirkwood/,119.0,Kirkwood,Lake Tahoe,65.0,15.0,30.0,20.0,"{-120.06582143853203,38.67714158103975}",California,http://www.kirkwood.com/
25,62,Gore Mountain,https://www.skiresort.info/ski-resort/gore-mountain/,94.0,North Creek,The Adirondacks,58.2,6.7,28.2,23.3,"{-74.02378163740998,43.67956294100719}",Unknown,http://www.goremountain.com
26,63,Sierra at Tahoe,https://www.skiresort.info/ski-resort/sierra-at-tahoe/,115.0,South Lake Tahoe,Lake Tahoe,46.5,12.0,23.0,11.5,"{-120.07588704046783,38.79653993866911}",Unknown,http://www.sierraattahoe.com/
27,65,49 Degrees North Mountain Resort,https://www.skiresort.info/ski-resort/49-degrees-north-mountain-resort/,62.0,Chewelah,Washington State,68.0,20.0,27.0,21.0,"{-117.56779086266143,48.29241317934455}",Unknown,http://www.ski49n.com
28,66,Timberline,https://www.skiresort.info/ski-resort/timberline/,89.0,Welches,Oregon,31.0,8.0,15.0,8.0,"{-89.93217229843097,43.14051444932901}",Wisconsin,
29,67,Snowbasin,https://www.skiresort.info/ski-resort/snowbasin/,135.0,Huntsville (Utah),Utah,48.0,5.0,28.0,15.0,"{-111.86105313110127,41.19940921279766}",Unknown,http://www.snowbasin.com/
30,68,Loon Mountain,https://www.skiresort.info/ski-resort/loon-mountain/,104.0,Lincoln,New Hampshire,45.0,13.0,26.0,6.0,"{-71.63237615371992,44.045973468819}",Unknown,Unknown
31,70,Hunter Mountain,https://www.skiresort.info/ski-resort/hunter-mountain/,91.0,Tannersville,The Catskills,55.0,18.0,18.0,19.0,"{-74.22299654540444,42.20224480588236}",New York,http://www.huntermtn.com/
32,71,Tamarack Resort,https://www.skiresort.info/ski-resort/tamarack-resort/,100.0,Donnelly,Idaho,42.0,12.0,20.0,10.0,"{-116.14289420041456,44.681993244217395}",Idaho,http://www.tamarackidaho.com
33,72,Windham Mountain,https://www.skiresort.info/ski-resort/windham-mountain/,98.0,Windham,The Catskills,46.0,20.0,16.0,10.0,"{-74.257278442383,42.292548351430014}",New York,Unknown
34,73,Arizona Snowbowl,https://www.skiresort.info/ski-resort/arizona-snowbowl/,99.0,Flagstaff,Arizona,37.0,12.0,14.0,11.0,"{-111.6985322631388,35.33008002062042}",Arizona,http://www.arizonasnowbowl.com
35,78,Cannon Mountain,https://www.skiresort.info/ski-resort/cannon-mountain/,79.0,Franconia,New Hampshire,50.0,15.0,25.0,10.0,"{-71.70194662723318,44.169800364705864}",Unknown,http://www.cannonmt.com/
